graph_id,split,graph_family,base_cycle_size,gap_level,num_nodes,num_directed_edges,num_features,target_colors,known_chromatic_number,best_colpack5_colors,best_colpack5_gap_from_known,selected_ordering,path
week17_gap_cycle_square_c29,train,heuristic_gap_controlled,29,1,29,116,25,4,4,5,1,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c29.pt
week17_gap_join_c29_join_2,train,heuristic_gap_controlled,29,2,58,1914,25,8,8,10,2,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c29_join_2.pt
week17_gap_join_c29_join_3,train,heuristic_gap_controlled,29,3,87,5394,25,12,12,15,3,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c29_join_3.pt
week17_gap_join_c29_join_4,train,heuristic_gap_controlled,29,4,116,10556,25,16,16,20,4,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c29_join_4.pt
week17_gap_join_c29_join_5,train,heuristic_gap_controlled,29,5,145,17400,25,20,20,25,5,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c29_join_5.pt
week17_gap_cycle_square_c35,train,heuristic_gap_controlled,35,1,35,140,25,4,4,5,1,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c35.pt
week17_gap_join_c35_join_2,train,heuristic_gap_controlled,35,2,70,2730,25,8,8,10,2,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c35_join_2.pt
week17_gap_join_c35_join_3,train,heuristic_gap_controlled,35,3,105,7770,25,12,12,15,3,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c35_join_3.pt
week17_gap_join_c35_join_4,train,heuristic_gap_controlled,35,4,140,15260,25,16,16,20,4,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c35_join_4.pt
week17_gap_join_c35_join_5,train,heuristic_gap_controlled,35,5,175,25200,25,20,20,25,5,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c35_join_5.pt
week17_gap_cycle_square_c38,validation,heuristic_gap_controlled,38,1,38,152,25,4,4,5,1,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c38.pt
week17_gap_join_c38_join_2,validation,heuristic_gap_controlled,38,2,76,3192,25,8,8,10,2,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c38_join_2.pt
week17_gap_join_c38_join_3,validation,heuristic_gap_controlled,38,3,114,9120,25,12,12,15,3,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c38_join_3.pt
week17_gap_join_c38_join_4,validation,heuristic_gap_controlled,38,4,152,17936,25,16,16,20,4,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c38_join_4.pt
week17_gap_join_c38_join_5,validation,heuristic_gap_controlled,38,5,190,29640,25,20,20,25,5,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c38_join_5.pt
week17_gap_cycle_square_c41,test,heuristic_gap_controlled,41,1,41,164,25,4,4,5,1,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c41.pt
week17_gap_join_c41_join_2,test,heuristic_gap_controlled,41,2,82,3690,25,8,8,10,2,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c41_join_2.pt
week17_gap_join_c41_join_3,test,heuristic_gap_controlled,41,3,123,10578,25,12,12,15,3,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c41_join_3.pt
week17_gap_join_c41_join_4,test,heuristic_gap_controlled,41,4,164,20828,25,16,16,20,4,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c41_join_4.pt
week17_gap_join_c41_join_5,test,heuristic_gap_controlled,41,5,205,34440,25,20,20,25,5,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c41_join_5.pt
