split_group_id,split,split_grouping_mode,num_graphs,graph_ids,families,LARGEST_FIRST,DYNAMIC_LARGEST_FIRST,INCIDENCE_DEGREE,SMALLEST_LAST
erdos_renyi:week18_er_n60_p16,train,strict_replicate_groups_with_fixed_crown_sizes,2,week18_er_n60_p16_s1; week18_er_n60_p16_s3,erdos_renyi,1,0,0,1
erdos_renyi:week18_er_n60_p22,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_er_n60_p22_s1,erdos_renyi,0,0,0,1
erdos_renyi:week18_er_n80_p09,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_er_n80_p09_s3,erdos_renyi,1,0,0,0
erdos_renyi:week18_er_n80_p12,train,strict_replicate_groups_with_fixed_crown_sizes,2,week18_er_n80_p12_s0; week18_er_n80_p12_s2,erdos_renyi,0,0,0,2
erdos_renyi:week18_er_n80_p16,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_er_n80_p16_s1,erdos_renyi,1,0,0,0
erdos_renyi:week18_er_n80_p22,train,strict_replicate_groups_with_fixed_crown_sizes,3,week18_er_n80_p22_s1; week18_er_n80_p22_s2; week18_er_n80_p22_s3,erdos_renyi,0,1,2,0
erdos_renyi:week18_er_n80_p30,train,strict_replicate_groups_with_fixed_crown_sizes,2,week18_er_n80_p30_s0; week18_er_n80_p30_s2,erdos_renyi,0,1,1,0
stochastic_block_model:week18_sbm_three_blocks_120_strong,train,strict_replicate_groups_with_fixed_crown_sizes,2,week18_sbm_three_blocks_120_strong_s0; week18_sbm_three_blocks_120_strong_s1,stochastic_block_model,0,1,0,1
stochastic_block_model:week18_sbm_three_blocks_120_weak,test,strict_replicate_groups_with_fixed_crown_sizes,2,week18_sbm_three_blocks_120_weak_s0; week18_sbm_three_blocks_120_weak_s1,stochastic_block_model,0,0,2,0
stochastic_block_model:week18_sbm_three_blocks_90_moderate,validation,strict_replicate_groups_with_fixed_crown_sizes,1,week18_sbm_three_blocks_90_moderate_s1,stochastic_block_model,1,0,0,0
stochastic_block_model:week18_sbm_three_blocks_90_strong,test,strict_replicate_groups_with_fixed_crown_sizes,1,week18_sbm_three_blocks_90_strong_s0,stochastic_block_model,0,1,0,0
stochastic_block_model:week18_sbm_three_blocks_90_weak,train,strict_replicate_groups_with_fixed_crown_sizes,2,week18_sbm_three_blocks_90_weak_s0; week18_sbm_three_blocks_90_weak_s1,stochastic_block_model,0,1,1,0
stochastic_block_model:week18_sbm_two_blocks_60_moderate,test,strict_replicate_groups_with_fixed_crown_sizes,2,week18_sbm_two_blocks_60_moderate_s0; week18_sbm_two_blocks_60_moderate_s1,stochastic_block_model,1,1,0,0
stochastic_block_model:week18_sbm_two_blocks_60_weak,validation,strict_replicate_groups_with_fixed_crown_sizes,1,week18_sbm_two_blocks_60_weak_s1,stochastic_block_model,0,0,0,1
stochastic_block_model:week18_sbm_two_blocks_80_strong,test,strict_replicate_groups_with_fixed_crown_sizes,1,week18_sbm_two_blocks_80_strong_s0,stochastic_block_model,0,0,0,1
stochastic_block_model:week18_sbm_two_blocks_80_weak,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_sbm_two_blocks_80_weak_s1,stochastic_block_model,0,1,0,0
watts_strogatz:week18_ws_n120_k8_p50,validation,strict_replicate_groups_with_fixed_crown_sizes,1,week18_ws_n120_k8_p50_s1,watts_strogatz,0,1,0,0
watts_strogatz:week18_ws_n60_k8_p50,test,strict_replicate_groups_with_fixed_crown_sizes,1,week18_ws_n60_k8_p50_s0,watts_strogatz,1,0,0,0
watts_strogatz:week18_ws_n80_k8_p20,validation,strict_replicate_groups_with_fixed_crown_sizes,1,week18_ws_n80_k8_p20_s1,watts_strogatz,0,0,1,0
