graph_id,split,label_source,num_nodes,num_color_classes,selected_num_colors,target_coloring_valid,score_order_compatible,greedy_num_colors,greedy_coloring_valid,source_pt_path
week17_gap_join_c20_join_3,train,reconstructed_week17_exact_formula,60,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c20_join_3.pt
week17_gap_join_c20_join_4,train,reconstructed_week17_exact_formula,80,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c20_join_4.pt
week17_gap_join_c20_join_5,train,reconstructed_week17_exact_formula,100,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c20_join_5.pt
week17_gap_join_c26_join_2,train,reconstructed_week17_exact_formula,52,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c26_join_2.pt
week17_gap_join_c26_join_3,train,reconstructed_week17_exact_formula,78,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c26_join_3.pt
week17_gap_join_c26_join_4,train,reconstructed_week17_exact_formula,104,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c26_join_4.pt
week17_gap_join_c26_join_5,train,reconstructed_week17_exact_formula,130,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c26_join_5.pt
week17_gap_join_c29_join_2,train,reconstructed_week17_exact_formula,58,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c29_join_2.pt
week17_gap_join_c29_join_3,train,reconstructed_week17_exact_formula,87,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c29_join_3.pt
week17_gap_join_c29_join_4,train,reconstructed_week17_exact_formula,116,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c29_join_4.pt
week17_gap_join_c29_join_5,train,reconstructed_week17_exact_formula,145,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c29_join_5.pt
week17_gap_join_c35_join_2,train,reconstructed_week17_exact_formula,70,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c35_join_2.pt
week17_gap_join_c35_join_3,train,reconstructed_week17_exact_formula,105,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c35_join_3.pt
week17_gap_join_c35_join_4,train,reconstructed_week17_exact_formula,140,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c35_join_4.pt
week17_gap_join_c35_join_5,train,reconstructed_week17_exact_formula,175,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c35_join_5.pt
week18_controlled_mixed_join_2_c20_c26,train,stored_week18_known_colors,46,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c20_c26.pt
week18_controlled_mixed_join_2_c20_c29,train,stored_week18_known_colors,49,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c20_c29.pt
week18_controlled_mixed_join_2_c20_c35,train,stored_week18_known_colors,55,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c20_c35.pt
week18_controlled_mixed_join_2_c26_c29,train,stored_week18_known_colors,55,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c26_c29.pt
week18_controlled_mixed_join_2_c26_c35,train,stored_week18_known_colors,61,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c26_c35.pt
week18_controlled_mixed_join_2_c29_c35,train,stored_week18_known_colors,64,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c29_c35.pt
week18_controlled_mixed_join_3_c20_c20_c26,train,stored_week18_known_colors,66,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c20_c26.pt
week18_controlled_mixed_join_3_c20_c20_c29,train,stored_week18_known_colors,69,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c20_c29.pt
week18_controlled_mixed_join_3_c20_c20_c35,train,stored_week18_known_colors,75,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c20_c35.pt
week18_controlled_mixed_join_3_c20_c26_c26,train,stored_week18_known_colors,72,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c26_c26.pt
week18_controlled_mixed_join_3_c20_c26_c29,train,stored_week18_known_colors,75,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c26_c29.pt
week18_controlled_mixed_join_3_c20_c26_c35,train,stored_week18_known_colors,81,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c26_c35.pt
week18_controlled_mixed_join_3_c20_c29_c29,train,stored_week18_known_colors,78,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c29_c29.pt
week18_controlled_mixed_join_3_c20_c29_c35,train,stored_week18_known_colors,84,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c29_c35.pt
week18_controlled_mixed_join_3_c20_c35_c35,train,stored_week18_known_colors,90,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c35_c35.pt
week18_controlled_mixed_join_3_c26_c26_c29,train,stored_week18_known_colors,81,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c26_c26_c29.pt
week18_controlled_mixed_join_3_c26_c26_c35,train,stored_week18_known_colors,87,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c26_c26_c35.pt
week18_controlled_mixed_join_3_c26_c29_c29,train,stored_week18_known_colors,84,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c26_c29_c29.pt
week18_controlled_mixed_join_3_c26_c29_c35,train,stored_week18_known_colors,90,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c26_c29_c35.pt
week18_controlled_mixed_join_3_c26_c35_c35,train,stored_week18_known_colors,96,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c26_c35_c35.pt
week18_controlled_mixed_join_3_c29_c29_c35,train,stored_week18_known_colors,93,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c29_c29_c35.pt
week18_controlled_mixed_join_3_c29_c35_c35,train,stored_week18_known_colors,99,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c29_c35_c35.pt
week18_controlled_mixed_join_4_c20_c20_c20_c26,train,stored_week18_known_colors,86,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c20_c26.pt
week18_controlled_mixed_join_4_c20_c20_c20_c29,train,stored_week18_known_colors,89,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c20_c29.pt
week18_controlled_mixed_join_4_c20_c20_c20_c35,train,stored_week18_known_colors,95,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c20_c35.pt
week18_controlled_mixed_join_4_c20_c20_c26_c26,train,stored_week18_known_colors,92,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c26_c26.pt
week18_controlled_mixed_join_4_c20_c20_c26_c29,train,stored_week18_known_colors,95,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c26_c29.pt
week18_controlled_mixed_join_4_c20_c20_c26_c35,train,stored_week18_known_colors,101,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c26_c35.pt
week18_controlled_mixed_join_4_c20_c20_c29_c29,train,stored_week18_known_colors,98,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c29_c29.pt
week18_controlled_mixed_join_4_c20_c20_c29_c35,train,stored_week18_known_colors,104,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c29_c35.pt
week18_controlled_mixed_join_4_c20_c20_c35_c35,train,stored_week18_known_colors,110,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c35_c35.pt
week18_controlled_mixed_join_4_c20_c26_c26_c26,train,stored_week18_known_colors,98,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c26_c26.pt
week18_controlled_mixed_join_4_c20_c26_c26_c29,train,stored_week18_known_colors,101,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c26_c29.pt
week18_controlled_mixed_join_4_c20_c26_c26_c35,train,stored_week18_known_colors,107,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c26_c35.pt
week18_controlled_mixed_join_4_c20_c26_c29_c29,train,stored_week18_known_colors,104,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c29_c29.pt
week18_controlled_mixed_join_4_c20_c26_c29_c35,train,stored_week18_known_colors,110,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c29_c35.pt
week18_controlled_mixed_join_4_c20_c26_c35_c35,train,stored_week18_known_colors,116,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c35_c35.pt
week18_controlled_mixed_join_4_c20_c29_c29_c29,train,stored_week18_known_colors,107,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c29_c29_c29.pt
week18_controlled_mixed_join_4_c20_c29_c29_c35,train,stored_week18_known_colors,113,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c29_c29_c35.pt
week18_controlled_mixed_join_4_c20_c29_c35_c35,train,stored_week18_known_colors,119,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c29_c35_c35.pt
week18_controlled_mixed_join_4_c20_c35_c35_c35,train,stored_week18_known_colors,125,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c35_c35_c35.pt
week18_controlled_mixed_join_4_c26_c26_c26_c29,train,stored_week18_known_colors,107,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c26_c26_c29.pt
week18_controlled_mixed_join_4_c26_c26_c26_c35,train,stored_week18_known_colors,113,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c26_c26_c35.pt
week18_controlled_mixed_join_4_c26_c26_c29_c29,train,stored_week18_known_colors,110,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c26_c29_c29.pt
week18_controlled_mixed_join_4_c26_c26_c29_c35,train,stored_week18_known_colors,116,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c26_c29_c35.pt
week18_controlled_mixed_join_4_c26_c26_c35_c35,train,stored_week18_known_colors,122,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c26_c35_c35.pt
week18_controlled_mixed_join_4_c26_c29_c29_c29,train,stored_week18_known_colors,113,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c29_c29_c29.pt
week18_controlled_mixed_join_4_c26_c29_c29_c35,train,stored_week18_known_colors,119,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c29_c29_c35.pt
week18_controlled_mixed_join_4_c26_c29_c35_c35,train,stored_week18_known_colors,125,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c29_c35_c35.pt
week18_controlled_mixed_join_4_c26_c35_c35_c35,train,stored_week18_known_colors,131,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c35_c35_c35.pt
week18_controlled_mixed_join_4_c29_c29_c29_c35,train,stored_week18_known_colors,122,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c29_c29_c29_c35.pt
week18_controlled_mixed_join_4_c29_c29_c35_c35,train,stored_week18_known_colors,128,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c29_c29_c35_c35.pt
week18_controlled_mixed_join_4_c29_c35_c35_c35,train,stored_week18_known_colors,134,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c29_c35_c35_c35.pt
week18_controlled_mixed_join_5_c20_c20_c20_c20_c26,train,stored_week18_known_colors,106,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c20_c26.pt
week18_controlled_mixed_join_5_c20_c20_c20_c20_c29,train,stored_week18_known_colors,109,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c20_c29.pt
week18_controlled_mixed_join_5_c20_c20_c20_c20_c35,train,stored_week18_known_colors,115,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c20_c35.pt
week18_controlled_mixed_join_5_c20_c20_c20_c26_c26,train,stored_week18_known_colors,112,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c26_c26.pt
week18_controlled_mixed_join_5_c20_c20_c20_c26_c29,train,stored_week18_known_colors,115,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c26_c29.pt
week18_controlled_mixed_join_5_c20_c20_c20_c26_c35,train,stored_week18_known_colors,121,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c26_c35.pt
week18_controlled_mixed_join_5_c20_c20_c20_c29_c29,train,stored_week18_known_colors,118,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c29_c29.pt
week18_controlled_mixed_join_5_c20_c20_c20_c29_c35,train,stored_week18_known_colors,124,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c29_c35.pt
week18_controlled_mixed_join_5_c20_c20_c20_c35_c35,train,stored_week18_known_colors,130,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c35_c35.pt
week18_controlled_mixed_join_5_c20_c20_c26_c26_c26,train,stored_week18_known_colors,118,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c26_c26.pt
week18_controlled_mixed_join_5_c20_c20_c26_c26_c29,train,stored_week18_known_colors,121,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c26_c29.pt
week18_controlled_mixed_join_5_c20_c20_c26_c26_c35,train,stored_week18_known_colors,127,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c26_c35.pt
week18_controlled_mixed_join_5_c20_c20_c26_c29_c29,train,stored_week18_known_colors,124,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c29_c29.pt
week18_controlled_mixed_join_5_c20_c20_c26_c29_c35,train,stored_week18_known_colors,130,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c29_c35.pt
week18_controlled_mixed_join_5_c20_c20_c26_c35_c35,train,stored_week18_known_colors,136,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c35_c35.pt
week18_controlled_mixed_join_5_c20_c20_c29_c29_c29,train,stored_week18_known_colors,127,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c29_c29_c29.pt
week18_controlled_mixed_join_5_c20_c20_c29_c29_c35,train,stored_week18_known_colors,133,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c29_c29_c35.pt
week18_controlled_mixed_join_5_c20_c20_c29_c35_c35,train,stored_week18_known_colors,139,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c29_c35_c35.pt
week18_controlled_mixed_join_5_c20_c20_c35_c35_c35,train,stored_week18_known_colors,145,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c35_c35_c35.pt
week18_controlled_mixed_join_5_c20_c26_c26_c26_c26,train,stored_week18_known_colors,124,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c26_c26_c26.pt
week18_controlled_mixed_join_5_c20_c26_c26_c26_c29,train,stored_week18_known_colors,127,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c26_c26_c29.pt
week18_controlled_mixed_join_5_c20_c26_c26_c26_c35,train,stored_week18_known_colors,133,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c26_c26_c35.pt
week18_controlled_mixed_join_5_c20_c26_c26_c29_c29,train,stored_week18_known_colors,130,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c26_c29_c29.pt
week18_controlled_mixed_join_5_c20_c26_c26_c29_c35,train,stored_week18_known_colors,136,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c26_c29_c35.pt
week18_controlled_mixed_join_5_c20_c26_c26_c35_c35,train,stored_week18_known_colors,142,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c26_c35_c35.pt
week18_controlled_mixed_join_5_c20_c26_c29_c29_c29,train,stored_week18_known_colors,133,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c29_c29_c29.pt
week18_controlled_mixed_join_5_c20_c26_c29_c29_c35,train,stored_week18_known_colors,139,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c29_c29_c35.pt
week18_controlled_mixed_join_5_c20_c26_c29_c35_c35,train,stored_week18_known_colors,145,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c29_c35_c35.pt
week18_controlled_mixed_join_5_c20_c26_c35_c35_c35,train,stored_week18_known_colors,151,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c35_c35_c35.pt
week18_controlled_mixed_join_5_c20_c29_c29_c29_c29,train,stored_week18_known_colors,136,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c29_c29_c29_c29.pt
week18_controlled_mixed_join_5_c20_c29_c29_c29_c35,train,stored_week18_known_colors,142,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c29_c29_c29_c35.pt
week18_controlled_mixed_join_5_c20_c29_c29_c35_c35,train,stored_week18_known_colors,148,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c29_c29_c35_c35.pt
week18_controlled_mixed_join_5_c20_c29_c35_c35_c35,train,stored_week18_known_colors,154,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c29_c35_c35_c35.pt
week18_controlled_mixed_join_5_c20_c35_c35_c35_c35,train,stored_week18_known_colors,160,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c35_c35_c35_c35.pt
week18_controlled_mixed_join_5_c26_c26_c26_c26_c29,train,stored_week18_known_colors,133,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c26_c26_c26_c26_c29.pt
week18_controlled_mixed_join_5_c26_c26_c26_c26_c35,train,stored_week18_known_colors,139,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c26_c26_c26_c26_c35.pt
