graph_id,split,split_group_id,graph_family,num_nodes,num_undirected_edges,num_directed_edges,num_features,selected_teacher_ordering,selected_teacher_num_colors,best_colpack5_colors,worst_colpack5_colors,ordering_gap,num_best_orderings,density,path
week18_er_n120_p30_s1,train,erdos_renyi:week18_er_n120_p30,erdos_renyi,120,2148,4296,25,INCIDENCE_DEGREE,15,15,17,2,4,0.3008403361344537,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p30_s1.pt
week18_er_n120_p30_s2,train,erdos_renyi:week18_er_n120_p30,erdos_renyi,120,2132,4264,25,INCIDENCE_DEGREE,14,14,17,3,2,0.2985994397759103,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p30_s2.pt
week18_er_n40_p22_s1,train,erdos_renyi:week18_er_n40_p22,erdos_renyi,40,189,378,25,INCIDENCE_DEGREE,6,6,8,2,3,0.2423076923076923,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n40_p22_s1.pt
week18_er_n40_p22_s3,train,erdos_renyi:week18_er_n40_p22,erdos_renyi,40,156,312,25,INCIDENCE_DEGREE,5,5,7,2,2,0.2,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n40_p22_s3.pt
week18_er_n80_p22_s1,train,erdos_renyi:week18_er_n80_p22,erdos_renyi,80,713,1426,25,INCIDENCE_DEGREE,8,8,10,2,1,0.225632911392405,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n80_p22_s1.pt
week18_er_n80_p22_s3,train,erdos_renyi:week18_er_n80_p22,erdos_renyi,80,711,1422,25,INCIDENCE_DEGREE,8,8,11,3,1,0.225,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n80_p22_s3.pt
week18_er_n80_p30_s2,train,erdos_renyi:week18_er_n80_p30,erdos_renyi,80,966,1932,25,INCIDENCE_DEGREE,11,11,13,2,3,0.3056962025316456,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n80_p30_s2.pt
week18_sbm_three_blocks_90_weak_s1,train,stochastic_block_model:week18_sbm_three_blocks_90_weak,stochastic_block_model,90,487,974,25,INCIDENCE_DEGREE,6,6,8,2,2,0.1215980024968789,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_three_blocks_90_weak_s1.pt
week18_er_n100_p12_s0,train,erdos_renyi:week18_er_n100_p12,erdos_renyi,100,625,1250,25,LARGEST_FIRST,7,7,9,2,3,0.1262626262626262,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n100_p12_s0.pt
week18_er_n100_p16_s3,train,erdos_renyi:week18_er_n100_p16,erdos_renyi,100,830,1660,25,LARGEST_FIRST,8,8,11,3,3,0.1676767676767676,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n100_p16_s3.pt
week18_er_n120_p09_s1,train,erdos_renyi:week18_er_n120_p09,erdos_renyi,120,643,1286,25,LARGEST_FIRST,6,6,8,2,2,0.0900560224089635,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p09_s1.pt
week18_er_n120_p16_s0,train,erdos_renyi:week18_er_n120_p16,erdos_renyi,120,1153,2306,25,LARGEST_FIRST,9,9,11,2,2,0.161484593837535,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p16_s0.pt
week18_er_n120_p16_s2,train,erdos_renyi:week18_er_n120_p16,erdos_renyi,120,1111,2222,25,LARGEST_FIRST,9,9,11,2,1,0.1556022408963585,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p16_s2.pt
week18_er_n120_p22_s0,train,erdos_renyi:week18_er_n120_p22,erdos_renyi,120,1528,3056,25,LARGEST_FIRST,11,11,13,2,2,0.2140056022408963,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p22_s0.pt
week18_er_n120_p22_s2,train,erdos_renyi:week18_er_n120_p22,erdos_renyi,120,1594,3188,25,LARGEST_FIRST,11,11,13,2,1,0.2232492997198879,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p22_s2.pt
week18_er_n40_p12_s3,train,erdos_renyi:week18_er_n40_p12,erdos_renyi,40,70,140,25,LARGEST_FIRST,3,3,5,2,2,0.0897435897435897,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n40_p12_s3.pt
week18_er_n40_p22_s0,train,erdos_renyi:week18_er_n40_p22,erdos_renyi,40,161,322,25,LARGEST_FIRST,5,5,7,2,2,0.2064102564102564,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n40_p22_s0.pt
week18_er_n60_p16_s3,train,erdos_renyi:week18_er_n60_p16,erdos_renyi,60,271,542,25,LARGEST_FIRST,6,6,8,2,3,0.1531073446327683,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n60_p16_s3.pt
week18_er_n80_p09_s3,train,erdos_renyi:week18_er_n80_p09,erdos_renyi,80,299,598,25,LARGEST_FIRST,5,5,7,2,2,0.0946202531645569,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n80_p09_s3.pt
week18_er_n80_p16_s1,train,erdos_renyi:week18_er_n80_p16,erdos_renyi,80,511,1022,25,LARGEST_FIRST,7,7,9,2,2,0.1617088607594936,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n80_p16_s1.pt
week18_crown_m12_alternating,train,crown:week18_crown_m12_alternating,crown,24,132,264,25,SMALLEST_LAST,2,2,12,10,3,0.4782608695652174,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m12_alternating.pt
week18_crown_m18_alternating,train,crown:week18_crown_m18_alternating,crown,36,306,612,25,SMALLEST_LAST,2,2,18,16,3,0.4857142857142857,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m18_alternating.pt
week18_er_n100_p16_s0,train,erdos_renyi:week18_er_n100_p16,erdos_renyi,100,755,1510,25,SMALLEST_LAST,8,8,10,2,2,0.1525252525252525,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n100_p16_s0.pt
week18_er_n120_p06_s2,train,erdos_renyi:week18_er_n120_p06,erdos_renyi,120,442,884,25,SMALLEST_LAST,5,5,7,2,3,0.0619047619047619,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p06_s2.pt
week18_er_n120_p30_s3,train,erdos_renyi:week18_er_n120_p30,erdos_renyi,120,2148,4296,25,SMALLEST_LAST,14,14,16,2,2,0.3008403361344537,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p30_s3.pt
week18_er_n40_p30_s0,train,erdos_renyi:week18_er_n40_p30,erdos_renyi,40,246,492,25,SMALLEST_LAST,7,7,9,2,4,0.3153846153846154,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n40_p30_s0.pt
week18_er_n40_p30_s3,train,erdos_renyi:week18_er_n40_p30,erdos_renyi,40,249,498,25,SMALLEST_LAST,6,6,8,2,2,0.3192307692307692,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n40_p30_s3.pt
week18_er_n60_p16_s1,train,erdos_renyi:week18_er_n60_p16,erdos_renyi,60,251,502,25,SMALLEST_LAST,5,5,7,2,1,0.1418079096045197,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n60_p16_s1.pt
week18_er_n60_p22_s1,train,erdos_renyi:week18_er_n60_p22,erdos_renyi,60,403,806,25,SMALLEST_LAST,7,7,9,2,1,0.227683615819209,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n60_p22_s1.pt
week18_er_n80_p12_s0,train,erdos_renyi:week18_er_n80_p12,erdos_renyi,80,396,792,25,SMALLEST_LAST,6,6,8,2,3,0.1253164556962025,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n80_p12_s0.pt
week18_er_n80_p12_s2,train,erdos_renyi:week18_er_n80_p12,erdos_renyi,80,386,772,25,SMALLEST_LAST,5,5,7,2,1,0.1221518987341772,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n80_p12_s2.pt
week18_sbm_three_blocks_120_strong_s0,train,stochastic_block_model:week18_sbm_three_blocks_120_strong,stochastic_block_model,120,896,1792,25,SMALLEST_LAST,8,8,10,2,3,0.1254901960784313,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_three_blocks_120_strong_s0.pt
week18_crown_m22_alternating,validation,crown:week18_crown_m22_alternating,crown,44,462,924,25,DYNAMIC_LARGEST_FIRST,2,2,22,20,3,0.4883720930232558,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m22_alternating.pt
week18_ws_n120_k8_p50_s1,validation,watts_strogatz:week18_ws_n120_k8_p50,watts_strogatz,120,480,960,25,DYNAMIC_LARGEST_FIRST,5,5,7,2,1,0.0672268907563025,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_ws_n120_k8_p50_s1.pt
week18_crown_m20_alternating,validation,crown:week18_crown_m20_alternating,crown,40,380,760,25,INCIDENCE_DEGREE,2,2,20,18,3,0.4871794871794871,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m20_alternating.pt
week18_ws_n80_k8_p20_s1,validation,watts_strogatz:week18_ws_n80_k8_p20,watts_strogatz,80,320,640,25,INCIDENCE_DEGREE,5,5,7,2,1,0.1012658227848101,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_ws_n80_k8_p20_s1.pt
week18_er_n100_p30_s3,validation,erdos_renyi:week18_er_n100_p30,erdos_renyi,100,1522,3044,25,LARGEST_FIRST,13,13,15,2,3,0.3074747474747474,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n100_p30_s3.pt
week18_sbm_three_blocks_90_moderate_s1,validation,stochastic_block_model:week18_sbm_three_blocks_90_moderate,stochastic_block_model,90,468,936,25,LARGEST_FIRST,6,6,8,2,3,0.1168539325842696,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_three_blocks_90_moderate_s1.pt
week18_er_n100_p30_s0,validation,erdos_renyi:week18_er_n100_p30,erdos_renyi,100,1520,3040,25,SMALLEST_LAST,13,13,15,2,3,0.307070707070707,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n100_p30_s0.pt
week18_sbm_two_blocks_60_weak_s1,validation,stochastic_block_model:week18_sbm_two_blocks_60_weak,stochastic_block_model,60,248,496,25,SMALLEST_LAST,5,5,7,2,1,0.1401129943502825,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_two_blocks_60_weak_s1.pt
