graph_id,split,graph_family,num_components_joined,component_cycle_sizes,num_unique_component_sizes,gap_level,num_nodes,num_directed_edges,num_features,target_colors,known_chromatic_number,best_colpack5_colors,best_colpack5_gap_from_known,selected_ordering,score_convention,path
week18_controlled_mixed_join_4_c26_c26_c29_c29,train,mixed_join_of_cycle_square_hard_cases,4,26;26;29;29,2,4,110,9506,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c26_c29_c29.pt
week18_controlled_mixed_join_4_c20_c29_c29_c35,train,mixed_join_of_cycle_square_hard_cases,4,20;29;29;35,3,4,113,9914,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c29_c29_c35.pt
week18_controlled_mixed_join_4_c26_c26_c26_c35,train,mixed_join_of_cycle_square_hard_cases,4,26;26;26;35,2,4,113,9968,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c26_c26_c35.pt
week18_controlled_mixed_join_4_c26_c29_c29_c29,train,mixed_join_of_cycle_square_hard_cases,4,26;29;29;29,2,4,113,10022,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c29_c29_c29.pt
week18_controlled_mixed_join_4_c20_c26_c35_c35,train,mixed_join_of_cycle_square_hard_cases,4,20;26;35;35,3,4,116,10394,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c35_c35.pt
week18_controlled_mixed_join_4_c26_c26_c29_c35,train,mixed_join_of_cycle_square_hard_cases,4,26;26;29;35,3,4,116,10502,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c26_c29_c35.pt
week18_controlled_mixed_join_4_c20_c29_c35_c35,train,mixed_join_of_cycle_square_hard_cases,4,20;29;35;35,3,4,119,10946,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c29_c35_c35.pt
week18_controlled_mixed_join_4_c26_c29_c29_c35,train,mixed_join_of_cycle_square_hard_cases,4,26;29;29;35,3,4,119,11054,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c29_c29_c35.pt
week18_controlled_mixed_join_4_c26_c26_c35_c35,train,mixed_join_of_cycle_square_hard_cases,4,26;26;35;35,2,4,122,11570,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c26_c35_c35.pt
week18_controlled_mixed_join_4_c29_c29_c29_c35,train,mixed_join_of_cycle_square_hard_cases,4,29;29;29;35,2,4,122,11624,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c29_c29_c29_c35.pt
week18_controlled_mixed_join_4_c20_c35_c35_c35,train,mixed_join_of_cycle_square_hard_cases,4,20;35;35;35,2,4,125,12050,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c35_c35_c35.pt
week18_controlled_mixed_join_4_c26_c29_c35_c35,train,mixed_join_of_cycle_square_hard_cases,4,26;29;35;35,3,4,125,12158,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c29_c35_c35.pt
week18_controlled_mixed_join_4_c29_c29_c35_c35,train,mixed_join_of_cycle_square_hard_cases,4,29;29;35;35,2,4,128,12764,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c29_c29_c35_c35.pt
week18_controlled_mixed_join_4_c26_c35_c35_c35,train,mixed_join_of_cycle_square_hard_cases,4,26;35;35;35,2,4,131,13334,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c35_c35_c35.pt
week18_controlled_mixed_join_4_c29_c35_c35_c35,train,mixed_join_of_cycle_square_hard_cases,4,29;35;35;35,2,4,134,13976,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c29_c35_c35_c35.pt
week18_controlled_mixed_join_5_c20_c20_c20_c20_c26,train,mixed_join_of_cycle_square_hard_cases,5,20;20;20;20;26,2,5,106,9384,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c20_c26.pt
week18_controlled_mixed_join_5_c20_c20_c20_c20_c29,train,mixed_join_of_cycle_square_hard_cases,5,20;20;20;20;29,2,5,109,9876,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c20_c29.pt
week18_controlled_mixed_join_5_c20_c20_c20_c26_c26,train,mixed_join_of_cycle_square_hard_cases,5,20;20;20;26;26,2,5,112,10440,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c26_c26.pt
week18_controlled_mixed_join_5_c20_c20_c20_c20_c35,train,mixed_join_of_cycle_square_hard_cases,5,20;20;20;20;35,2,5,115,10860,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c20_c35.pt
week18_controlled_mixed_join_5_c20_c20_c20_c26_c29,train,mixed_join_of_cycle_square_hard_cases,5,20;20;20;26;29,3,5,115,10968,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c26_c29.pt
week18_controlled_mixed_join_5_c20_c20_c20_c29_c29,train,mixed_join_of_cycle_square_hard_cases,5,20;20;20;29;29,2,5,118,11514,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c29_c29.pt
week18_controlled_mixed_join_5_c20_c20_c26_c26_c26,train,mixed_join_of_cycle_square_hard_cases,5,20;20;26;26;26,2,5,118,11568,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c26_c26.pt
week18_controlled_mixed_join_5_c20_c20_c20_c26_c35,train,mixed_join_of_cycle_square_hard_cases,5,20;20;20;26;35,3,5,121,12024,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c26_c35.pt
week18_controlled_mixed_join_5_c20_c20_c26_c26_c29,train,mixed_join_of_cycle_square_hard_cases,5,20;20;26;26;29,3,5,121,12132,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c26_c29.pt
week18_controlled_mixed_join_5_c20_c20_c20_c29_c35,train,mixed_join_of_cycle_square_hard_cases,5,20;20;20;29;35,3,5,124,12606,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c29_c35.pt
week18_controlled_mixed_join_5_c20_c20_c26_c29_c29,train,mixed_join_of_cycle_square_hard_cases,5,20;20;26;29;29,3,5,124,12714,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c29_c29.pt
week18_controlled_mixed_join_5_c20_c26_c26_c26_c26,train,mixed_join_of_cycle_square_hard_cases,5,20;26;26;26;26,2,5,124,12768,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c26_c26_c26.pt
week18_controlled_mixed_join_5_c20_c20_c26_c26_c35,train,mixed_join_of_cycle_square_hard_cases,5,20;20;26;26;35,3,5,127,13260,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c26_c35.pt
week18_controlled_mixed_join_5_c20_c20_c29_c29_c29,train,mixed_join_of_cycle_square_hard_cases,5,20;20;29;29;29,2,5,127,13314,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c29_c29_c29.pt
week18_controlled_mixed_join_5_c20_c26_c26_c26_c29,train,mixed_join_of_cycle_square_hard_cases,5,20;26;26;26;29,3,5,127,13368,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c26_c26_c29.pt
week18_controlled_mixed_join_5_c20_c20_c20_c35_c35,train,mixed_join_of_cycle_square_hard_cases,5,20;20;20;35;35,2,5,130,13770,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c20_c35_c35.pt
week18_controlled_mixed_join_5_c20_c20_c26_c29_c35,train,mixed_join_of_cycle_square_hard_cases,5,20;20;26;29;35,4,5,130,13878,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c26_c29_c35.pt
week18_controlled_mixed_join_5_c20_c26_c26_c29_c29,train,mixed_join_of_cycle_square_hard_cases,5,20;26;26;29;29,3,5,130,13986,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c26_c29_c29.pt
week18_controlled_mixed_join_5_c20_c20_c29_c29_c35,train,mixed_join_of_cycle_square_hard_cases,5,20;20;29;29;35,3,5,133,14514,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c20_c29_c29_c35.pt
week18_controlled_mixed_join_5_c20_c26_c26_c26_c35,train,mixed_join_of_cycle_square_hard_cases,5,20;26;26;26;35,3,5,133,14568,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c26_c26_c35.pt
week18_controlled_mixed_join_5_c20_c26_c29_c29_c29,train,mixed_join_of_cycle_square_hard_cases,5,20;26;29;29;29,3,5,133,14622,25,20,20,25,5,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_5_c20_c26_c29_c29_c29.pt
