graph_id,split,split_group_id,split_grouping_mode,family,num_vertices,num_edges,density,matrix_path,selected_teacher_ordering,best_colpack5_colors,worst_colpack5_colors,ordering_gap,best_colpack5_orderings,num_best_orderings,teacher_selection_reason
week18_crown_m10_alternating,train,crown:week18_crown_m10_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,20,90,0.4736842105263157,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,DYNAMIC_LARGEST_FIRST,2,10,8,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_crown_m16_alternating,train,crown:week18_crown_m16_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,32,240,0.4838709677419355,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m16_alternating.mtx,DYNAMIC_LARGEST_FIRST,2,16,14,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_er_n100_p12_s3,train,erdos_renyi:week18_er_n100_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,614,0.124040404040404,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p12_s3.mtx,DYNAMIC_LARGEST_FIRST,7,9,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering
week18_er_n100_p22_s2,train,erdos_renyi:week18_er_n100_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,1110,0.2242424242424242,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p22_s2.mtx,DYNAMIC_LARGEST_FIRST,10,12,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering
week18_er_n100_p22_s3,train,erdos_renyi:week18_er_n100_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,1141,0.2305050505050505,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p22_s3.mtx,DYNAMIC_LARGEST_FIRST,10,12,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering
week18_er_n120_p22_s1,train,erdos_renyi:week18_er_n120_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1602,0.2243697478991596,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p22_s1.mtx,DYNAMIC_LARGEST_FIRST,12,14,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,3,balanced_among_tied_best_orderings
week18_er_n120_p22_s3,train,erdos_renyi:week18_er_n120_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1580,0.2212885154061624,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p22_s3.mtx,DYNAMIC_LARGEST_FIRST,11,13,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering
week18_er_n80_p22_s2,train,erdos_renyi:week18_er_n80_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,644,0.2037974683544303,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p22_s2.mtx,DYNAMIC_LARGEST_FIRST,8,10,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_er_n80_p30_s0,train,erdos_renyi:week18_er_n80_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,972,0.3075949367088607,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p30_s0.mtx,DYNAMIC_LARGEST_FIRST,10,12,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering
week18_sbm_three_blocks_120_strong_s1,train,stochastic_block_model:week18_sbm_three_blocks_120_strong,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,120,908,0.1271708683473389,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_120_strong_s1.mtx,DYNAMIC_LARGEST_FIRST,8,10,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings
week18_sbm_three_blocks_90_weak_s0,train,stochastic_block_model:week18_sbm_three_blocks_90_weak,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,90,503,0.1255930087390761,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_90_weak_s0.mtx,DYNAMIC_LARGEST_FIRST,6,8,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering
week18_sbm_two_blocks_80_weak_s1,train,stochastic_block_model:week18_sbm_two_blocks_80_weak,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,80,441,0.1395569620253164,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_two_blocks_80_weak_s1.mtx,DYNAMIC_LARGEST_FIRST,6,8,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering
week18_ba_n120_m6_s1,train,barabasi_albert:week18_ba_n120_m6,strict_replicate_groups_with_fixed_crown_sizes,barabasi_albert,120,684,0.0957983193277311,data\raw\matrices\week18_heterogeneous_generalization\week18_ba_n120_m6_s1.mtx,INCIDENCE_DEGREE,6,8,2,NATURAL; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings
week18_crown_m14_alternating,train,crown:week18_crown_m14_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,28,182,0.4814814814814814,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m14_alternating.mtx,INCIDENCE_DEGREE,2,14,12,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_er_n100_p22_s0,train,erdos_renyi:week18_er_n100_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,1119,0.226060606060606,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p22_s0.mtx,INCIDENCE_DEGREE,10,12,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings
week18_er_n100_p22_s1,train,erdos_renyi:week18_er_n100_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,1081,0.2183838383838383,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p22_s1.mtx,INCIDENCE_DEGREE,10,12,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_er_n120_p30_s1,train,erdos_renyi:week18_er_n120_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,2148,0.3008403361344537,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p30_s1.mtx,INCIDENCE_DEGREE,15,17,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,4,balanced_among_tied_best_orderings
week18_er_n120_p30_s2,train,erdos_renyi:week18_er_n120_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,2132,0.2985994397759103,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p30_s2.mtx,INCIDENCE_DEGREE,14,17,3,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings
week18_er_n40_p22_s1,train,erdos_renyi:week18_er_n40_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,189,0.2423076923076923,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p22_s1.mtx,INCIDENCE_DEGREE,6,8,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_er_n40_p22_s3,train,erdos_renyi:week18_er_n40_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,156,0.2,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p22_s3.mtx,INCIDENCE_DEGREE,5,7,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings
week18_er_n80_p22_s1,train,erdos_renyi:week18_er_n80_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,713,0.225632911392405,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p22_s1.mtx,INCIDENCE_DEGREE,8,10,2,INCIDENCE_DEGREE,1,unique_best_ordering
week18_er_n80_p22_s3,train,erdos_renyi:week18_er_n80_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,711,0.225,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p22_s3.mtx,INCIDENCE_DEGREE,8,11,3,INCIDENCE_DEGREE,1,unique_best_ordering
week18_er_n80_p30_s2,train,erdos_renyi:week18_er_n80_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,966,0.3056962025316456,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p30_s2.mtx,INCIDENCE_DEGREE,11,13,2,LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_sbm_three_blocks_90_weak_s1,train,stochastic_block_model:week18_sbm_three_blocks_90_weak,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,90,487,0.1215980024968789,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_90_weak_s1.mtx,INCIDENCE_DEGREE,6,8,2,INCIDENCE_DEGREE; SMALLEST_LAST,2,balanced_among_tied_best_orderings
week18_er_n100_p12_s0,train,erdos_renyi:week18_er_n100_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,625,0.1262626262626262,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p12_s0.mtx,LARGEST_FIRST,7,9,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,3,balanced_among_tied_best_orderings
week18_er_n100_p16_s3,train,erdos_renyi:week18_er_n100_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,830,0.1676767676767676,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p16_s3.mtx,LARGEST_FIRST,8,11,3,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,3,balanced_among_tied_best_orderings
week18_er_n120_p09_s1,train,erdos_renyi:week18_er_n120_p09,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,643,0.0900560224089635,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p09_s1.mtx,LARGEST_FIRST,6,8,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST,2,balanced_among_tied_best_orderings
week18_er_n120_p16_s0,train,erdos_renyi:week18_er_n120_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1153,0.161484593837535,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p16_s0.mtx,LARGEST_FIRST,9,11,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST,2,balanced_among_tied_best_orderings
week18_er_n120_p16_s2,train,erdos_renyi:week18_er_n120_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1111,0.1556022408963585,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p16_s2.mtx,LARGEST_FIRST,9,11,2,LARGEST_FIRST,1,unique_best_ordering
week18_er_n120_p22_s0,train,erdos_renyi:week18_er_n120_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1528,0.2140056022408963,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p22_s0.mtx,LARGEST_FIRST,11,13,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST,2,balanced_among_tied_best_orderings
week18_er_n120_p22_s2,train,erdos_renyi:week18_er_n120_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1594,0.2232492997198879,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p22_s2.mtx,LARGEST_FIRST,11,13,2,LARGEST_FIRST,1,unique_best_ordering
week18_er_n40_p12_s3,train,erdos_renyi:week18_er_n40_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,70,0.0897435897435897,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p12_s3.mtx,LARGEST_FIRST,3,5,2,LARGEST_FIRST; SMALLEST_LAST,2,balanced_among_tied_best_orderings
week18_er_n40_p22_s0,train,erdos_renyi:week18_er_n40_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,161,0.2064102564102564,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p22_s0.mtx,LARGEST_FIRST,5,7,2,LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings
week18_er_n60_p16_s3,train,erdos_renyi:week18_er_n60_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,60,271,0.1531073446327683,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n60_p16_s3.mtx,LARGEST_FIRST,6,8,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,3,balanced_among_tied_best_orderings
week18_er_n80_p09_s3,train,erdos_renyi:week18_er_n80_p09,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,299,0.0946202531645569,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p09_s3.mtx,LARGEST_FIRST,5,7,2,LARGEST_FIRST; SMALLEST_LAST,2,balanced_among_tied_best_orderings
week18_er_n80_p16_s1,train,erdos_renyi:week18_er_n80_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,511,0.1617088607594936,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p16_s1.mtx,LARGEST_FIRST,7,9,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST,2,balanced_among_tied_best_orderings
week18_crown_m12_alternating,train,crown:week18_crown_m12_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,24,132,0.4782608695652174,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m12_alternating.mtx,SMALLEST_LAST,2,12,10,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_crown_m18_alternating,train,crown:week18_crown_m18_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,36,306,0.4857142857142857,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m18_alternating.mtx,SMALLEST_LAST,2,18,16,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_er_n100_p16_s0,train,erdos_renyi:week18_er_n100_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,755,0.1525252525252525,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p16_s0.mtx,SMALLEST_LAST,8,10,2,DYNAMIC_LARGEST_FIRST; SMALLEST_LAST,2,balanced_among_tied_best_orderings
week18_er_n120_p06_s2,train,erdos_renyi:week18_er_n120_p06,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,442,0.0619047619047619,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p06_s2.mtx,SMALLEST_LAST,5,7,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_er_n120_p30_s3,train,erdos_renyi:week18_er_n120_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,2148,0.3008403361344537,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p30_s3.mtx,SMALLEST_LAST,14,16,2,DYNAMIC_LARGEST_FIRST; SMALLEST_LAST,2,balanced_among_tied_best_orderings
week18_er_n40_p30_s0,train,erdos_renyi:week18_er_n40_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,246,0.3153846153846154,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p30_s0.mtx,SMALLEST_LAST,7,9,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,4,balanced_among_tied_best_orderings
week18_er_n40_p30_s3,train,erdos_renyi:week18_er_n40_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,249,0.3192307692307692,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p30_s3.mtx,SMALLEST_LAST,6,8,2,DYNAMIC_LARGEST_FIRST; SMALLEST_LAST,2,balanced_among_tied_best_orderings
week18_er_n60_p16_s1,train,erdos_renyi:week18_er_n60_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,60,251,0.1418079096045197,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n60_p16_s1.mtx,SMALLEST_LAST,5,7,2,SMALLEST_LAST,1,unique_best_ordering
week18_er_n60_p22_s1,train,erdos_renyi:week18_er_n60_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,60,403,0.227683615819209,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n60_p22_s1.mtx,SMALLEST_LAST,7,9,2,SMALLEST_LAST,1,unique_best_ordering
week18_er_n80_p12_s0,train,erdos_renyi:week18_er_n80_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,396,0.1253164556962025,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p12_s0.mtx,SMALLEST_LAST,6,8,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_er_n80_p12_s2,train,erdos_renyi:week18_er_n80_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,386,0.1221518987341772,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p12_s2.mtx,SMALLEST_LAST,5,7,2,SMALLEST_LAST,1,unique_best_ordering
week18_sbm_three_blocks_120_strong_s0,train,stochastic_block_model:week18_sbm_three_blocks_120_strong,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,120,896,0.1254901960784313,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_120_strong_s0.mtx,SMALLEST_LAST,8,10,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_crown_m22_alternating,validation,crown:week18_crown_m22_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,44,462,0.4883720930232558,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m22_alternating.mtx,DYNAMIC_LARGEST_FIRST,2,22,20,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_ws_n120_k8_p50_s1,validation,watts_strogatz:week18_ws_n120_k8_p50,strict_replicate_groups_with_fixed_crown_sizes,watts_strogatz,120,480,0.0672268907563025,data\raw\matrices\week18_heterogeneous_generalization\week18_ws_n120_k8_p50_s1.mtx,DYNAMIC_LARGEST_FIRST,5,7,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering
week18_crown_m20_alternating,validation,crown:week18_crown_m20_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,40,380,0.4871794871794871,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m20_alternating.mtx,INCIDENCE_DEGREE,2,20,18,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_ws_n80_k8_p20_s1,validation,watts_strogatz:week18_ws_n80_k8_p20,strict_replicate_groups_with_fixed_crown_sizes,watts_strogatz,80,320,0.1012658227848101,data\raw\matrices\week18_heterogeneous_generalization\week18_ws_n80_k8_p20_s1.mtx,INCIDENCE_DEGREE,5,7,2,INCIDENCE_DEGREE,1,unique_best_ordering
week18_er_n100_p30_s3,validation,erdos_renyi:week18_er_n100_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,1522,0.3074747474747474,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p30_s3.mtx,LARGEST_FIRST,13,15,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,3,balanced_among_tied_best_orderings
week18_sbm_three_blocks_90_moderate_s1,validation,stochastic_block_model:week18_sbm_three_blocks_90_moderate,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,90,468,0.1168539325842696,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_90_moderate_s1.mtx,LARGEST_FIRST,6,8,2,LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_er_n100_p30_s0,validation,erdos_renyi:week18_er_n100_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,1520,0.307070707070707,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p30_s0.mtx,SMALLEST_LAST,13,15,2,NATURAL; DYNAMIC_LARGEST_FIRST; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_sbm_two_blocks_60_weak_s1,validation,stochastic_block_model:week18_sbm_two_blocks_60_weak,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,60,248,0.1401129943502825,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_two_blocks_60_weak_s1.mtx,SMALLEST_LAST,5,7,2,SMALLEST_LAST,1,unique_best_ordering
