graph_id,split,split_group_id,split_grouping_mode,family,num_vertices,num_edges,density,matrix_path,selected_teacher_ordering,best_colpack5_colors,worst_colpack5_colors,ordering_gap,best_colpack5_orderings,num_best_orderings,teacher_selection_reason,minimum_training_size,ablation_entry_tier,included_in_train_12,included_in_train_24,included_in_train_36,included_in_train_48
week18_er_n120_p06_s2,train,erdos_renyi:week18_er_n120_p06,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,442,0.0619047619047619,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p06_s2.mtx,SMALLEST_LAST,5,7,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,36,added_at_36,False,False,True,True
week18_er_n60_p16_s1,train,erdos_renyi:week18_er_n60_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,60,251,0.1418079096045197,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n60_p16_s1.mtx,SMALLEST_LAST,5,7,2,SMALLEST_LAST,1,unique_best_ordering,36,added_at_36,False,False,True,True
week18_er_n60_p22_s1,train,erdos_renyi:week18_er_n60_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,60,403,0.227683615819209,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n60_p22_s1.mtx,SMALLEST_LAST,7,9,2,SMALLEST_LAST,1,unique_best_ordering,36,added_at_36,False,False,True,True
week18_crown_m16_alternating,train,crown:week18_crown_m16_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,32,240,0.4838709677419355,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m16_alternating.mtx,DYNAMIC_LARGEST_FIRST,2,16,14,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,48,added_at_48,False,False,False,True
week18_crown_m18_alternating,train,crown:week18_crown_m18_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,36,306,0.4857142857142857,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m18_alternating.mtx,SMALLEST_LAST,2,18,16,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,48,added_at_48,False,False,False,True
week18_er_n80_p30_s0,train,erdos_renyi:week18_er_n80_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,972,0.3075949367088607,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p30_s0.mtx,DYNAMIC_LARGEST_FIRST,10,12,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering,48,added_at_48,False,False,False,True
week18_er_n40_p22_s1,train,erdos_renyi:week18_er_n40_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,189,0.2423076923076923,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p22_s1.mtx,INCIDENCE_DEGREE,6,8,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,48,added_at_48,False,False,False,True
week18_er_n40_p22_s3,train,erdos_renyi:week18_er_n40_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,156,0.2,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p22_s3.mtx,INCIDENCE_DEGREE,5,7,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings,48,added_at_48,False,False,False,True
week18_er_n80_p30_s2,train,erdos_renyi:week18_er_n80_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,966,0.3056962025316456,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p30_s2.mtx,INCIDENCE_DEGREE,11,13,2,LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,48,added_at_48,False,False,False,True
week18_er_n40_p12_s3,train,erdos_renyi:week18_er_n40_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,70,0.0897435897435897,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p12_s3.mtx,LARGEST_FIRST,3,5,2,LARGEST_FIRST; SMALLEST_LAST,2,balanced_among_tied_best_orderings,48,added_at_48,False,False,False,True
week18_er_n40_p22_s0,train,erdos_renyi:week18_er_n40_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,161,0.2064102564102564,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p22_s0.mtx,LARGEST_FIRST,5,7,2,LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings,48,added_at_48,False,False,False,True
week18_er_n80_p16_s1,train,erdos_renyi:week18_er_n80_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,511,0.1617088607594936,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p16_s1.mtx,LARGEST_FIRST,7,9,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST,2,balanced_among_tied_best_orderings,48,added_at_48,False,False,False,True
week18_er_n40_p30_s0,train,erdos_renyi:week18_er_n40_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,246,0.3153846153846154,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p30_s0.mtx,SMALLEST_LAST,7,9,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,4,balanced_among_tied_best_orderings,48,added_at_48,False,False,False,True
week18_er_n40_p30_s3,train,erdos_renyi:week18_er_n40_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,40,249,0.3192307692307692,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n40_p30_s3.mtx,SMALLEST_LAST,6,8,2,DYNAMIC_LARGEST_FIRST; SMALLEST_LAST,2,balanced_among_tied_best_orderings,48,added_at_48,False,False,False,True
week18_sbm_two_blocks_80_weak_s1,train,stochastic_block_model:week18_sbm_two_blocks_80_weak,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,80,441,0.1395569620253164,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_two_blocks_80_weak_s1.mtx,DYNAMIC_LARGEST_FIRST,6,8,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering,48,added_at_48,False,False,False,True
