Requested ordering: LARGEST_FIRST
Coloring distance: DISTANCE_ONE
Input graph: C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\dwt_234.mtx

 Coloring | LARGEST_FIRST Ordering | C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\dwt_234.mtx


[Total Colors = 3]
[Vertex Count = 234; Edge Count = 300]
[Ordering Time = 0; Coloring Time = 0]

Number of ordered vertices: 234
Order Position 128 -> Vertex 93
Order Position 129 -> Vertex 94
Order Position 130 -> Vertex 95
Order Position 131 -> Vertex 96
Order Position 132 -> Vertex 97
Order Position 133 -> Vertex 98
Order Position 134 -> Vertex 99
Order Position 135 -> Vertex 100
Order Position 136 -> Vertex 101
Order Position 137 -> Vertex 102
Order Position 138 -> Vertex 103
Order Position 139 -> Vertex 105
Order Position 140 -> Vertex 107
Order Position 141 -> Vertex 109
Order Position 142 -> Vertex 111
Order Position 143 -> Vertex 121
Order Position 144 -> Vertex 122
Order Position 145 -> Vertex 123
Order Position 146 -> Vertex 124
Order Position 147 -> Vertex 125
Order Position 148 -> Vertex 126
Order Position 149 -> Vertex 127
Order Position 150 -> Vertex 128
Order Position 151 -> Vertex 129
Order Position 152 -> Vertex 130
Order Position 153 -> Vertex 131
Order Position 154 -> Vertex 132
Order Position 155 -> Vertex 133
Order Position 156 -> Vertex 134
Order Position 157 -> Vertex 135
Order Position 158 -> Vertex 136
Order Position 159 -> Vertex 142
Order Position 160 -> Vertex 143
Order Position 161 -> Vertex 144
Order Position 162 -> Vertex 145
Order Position 163 -> Vertex 147
Order Position 164 -> Vertex 149
Order Position 165 -> Vertex 150
Order Position 166 -> Vertex 153
Order Position 167 -> Vertex 154
Order Position 168 -> Vertex 155
Order Position 169 -> Vertex 156
Order Position 170 -> Vertex 158
Order Position 171 -> Vertex 160
Order Position 172 -> Vertex 161
Order Position 173 -> Vertex 164
Order Position 174 -> Vertex 165
Order Position 175 -> Vertex 166
Order Position 176 -> Vertex 167
Order Position 177 -> Vertex 169
Order Position 178 -> Vertex 171
Order Position 179 -> Vertex 172
Order Position 180 -> Vertex 175
Order Position 181 -> Vertex 176
Order Position 182 -> Vertex 177
Order Position 183 -> Vertex 178
Order Position 184 -> Vertex 180
Order Position 185 -> Vertex 182
Order Position 186 -> Vertex 183
Order Position 187 -> Vertex 185
Order Position 188 -> Vertex 186
Order Position 189 -> Vertex 187
Order Position 190 -> Vertex 188
Order Position 191 -> Vertex 189
Order Position 192 -> Vertex 190
Order Position 193 -> Vertex 191
Order Position 194 -> Vertex 192
Order Position 195 -> Vertex 196
Order Position 196 -> Vertex 197
Order Position 197 -> Vertex 198
Order Position 198 -> Vertex 199
Order Position 199 -> Vertex 200
Order Position 200 -> Vertex 204
Order Position 201 -> Vertex 209
Order Position 202 -> Vertex 216
Order Position 203 -> Vertex 217
Order Position 204 -> Vertex 218
Order Position 205 -> Vertex 219
Order Position 206 -> Vertex 220
Order Position 207 -> Vertex 221
Order Position 208 -> Vertex 228
Order Position 209 -> Vertex 233
Order Position 210 -> Vertex 0
Order Position 211 -> Vertex 1
Order Position 212 -> Vertex 2
Order Position 213 -> Vertex 3
Order Position 214 -> Vertex 113
Order Position 215 -> Vertex 114
Order Position 216 -> Vertex 115
Order Position 217 -> Vertex 116
Order Position 218 -> Vertex 117
Order Position 219 -> Vertex 118
Order Position 220 -> Vertex 119
Order Position 221 -> Vertex 120
Order Position 222 -> Vertex 137
Order Position 223 -> Vertex 138
Order Position 224 -> Vertex 139
Order Position 225 -> Vertex 140
Order Position 226 -> Vertex 141
Order Position 227 -> Vertex 151
Order Position 228 -> Vertex 152
Order Position 229 -> Vertex 162
Order Position 230 -> Vertex 163
Order Position 231 -> Vertex 173
Order Position 232 -> Vertex 174
Order Position 233 -> Vertex 184
Valid coloring check not yet implemented in runner output.
Number of colored vertices: 234
Vertex 0 -> Color 1
Vertex 1 -> Color 1
Vertex 2 -> Color 1
Vertex 3 -> Color 1
Vertex 4 -> Color 0
Vertex 5 -> Color 1
Vertex 6 -> Color 0
Vertex 7 -> Color 1
Vertex 8 -> Color 0
Vertex 9 -> Color 1
Vertex 10 -> Color 0
Vertex 11 -> Color 1
Vertex 12 -> Color 0
Vertex 13 -> Color 1
Vertex 14 -> Color 0
Vertex 15 -> Color 1
Vertex 16 -> Color 0
Vertex 17 -> Color 1
Vertex 18 -> Color 0
Vertex 19 -> Color 1
Vertex 20 -> Color 1
Vertex 21 -> Color 1
Vertex 22 -> Color 1
Vertex 23 -> Color 1
Vertex 24 -> Color 0
Vertex 25 -> Color 1
Vertex 26 -> Color 2
Vertex 27 -> Color 1
Vertex 28 -> Color 2
Vertex 29 -> Color 1
Vertex 30 -> Color 2
Vertex 31 -> Color 1
Vertex 32 -> Color 2
Vertex 33 -> Color 1
Vertex 34 -> Color 1
Vertex 35 -> Color 1
Vertex 36 -> Color 1
Vertex 37 -> Color 1
Vertex 38 -> Color 1
Vertex 39 -> Color 1
Vertex 40 -> Color 1
Vertex 41 -> Color 0
Vertex 42 -> Color 1
Vertex 43 -> Color 0
Vertex 44 -> Color 1
Vertex 45 -> Color 0
Vertex 46 -> Color 1
Vertex 47 -> Color 0
Vertex 48 -> Color 1
Vertex 49 -> Color 1
Vertex 50 -> Color 1
Vertex 51 -> Color 2
Vertex 52 -> Color 1
Vertex 53 -> Color 2
Vertex 54 -> Color 1
Vertex 55 -> Color 2
Vertex 56 -> Color 1
Vertex 57 -> Color 2
Vertex 58 -> Color 1
Vertex 59 -> Color 1
Vertex 60 -> Color 1
Vertex 61 -> Color 1
Vertex 62 -> Color 0
Vertex 63 -> Color 1
Vertex 64 -> Color 0
Vertex 65 -> Color 1
Vertex 66 -> Color 0
Vertex 67 -> Color 1
Vertex 68 -> Color 0
Vertex 69 -> Color 1
Vertex 70 -> Color 1
Vertex 71 -> Color 1
Vertex 72 -> Color 2
Vertex 73 -> Color 1
Vertex 74 -> Color 2
Vertex 75 -> Color 1
Vertex 76 -> Color 2
Vertex 77 -> Color 1
Vertex 78 -> Color 2
Vertex 79 -> Color 1
Vertex 80 -> Color 1
Vertex 81 -> Color 1
Vertex 82 -> Color 1
Vertex 83 -> Color 0
Vertex 84 -> Color 1
Vertex 85 -> Color 0
Vertex 86 -> Color 1
Vertex 87 -> Color 0
Vertex 88 -> Color 1
Vertex 89 -> Color 0
Vertex 90 -> Color 1
Vertex 91 -> Color 1
Vertex 92 -> Color 1
Vertex 93 -> Color 2
Vertex 94 -> Color 1
Vertex 95 -> Color 2
Vertex 96 -> Color 1
Vertex 97 -> Color 2
Vertex 98 -> Color 1
Vertex 99 -> Color 2
Vertex 100 -> Color 1
Vertex 101 -> Color 1
Vertex 102 -> Color 1
Vertex 103 -> Color 1
Vertex 104 -> Color 0
Vertex 105 -> Color 1
Vertex 106 -> Color 0
Vertex 107 -> Color 1
Vertex 108 -> Color 0
Vertex 109 -> Color 1
Vertex 110 -> Color 0
Vertex 111 -> Color 1
Vertex 112 -> Color 1
Vertex 113 -> Color 1
Vertex 114 -> Color 1
Vertex 115 -> Color 1
Vertex 116 -> Color 1
Vertex 117 -> Color 1
Vertex 118 -> Color 1
Vertex 119 -> Color 1
Vertex 120 -> Color 1
Vertex 121 -> Color 0
Vertex 122 -> Color 0
Vertex 123 -> Color 0
Vertex 124 -> Color 0
Vertex 125 -> Color 1
Vertex 126 -> Color 1
Vertex 127 -> Color 1
Vertex 128 -> Color 1
Vertex 129 -> Color 0
Vertex 130 -> Color 0
Vertex 131 -> Color 0
Vertex 132 -> Color 0
Vertex 133 -> Color 1
Vertex 134 -> Color 1
Vertex 135 -> Color 1
Vertex 136 -> Color 1
Vertex 137 -> Color 0
Vertex 138 -> Color 0
Vertex 139 -> Color 0
Vertex 140 -> Color 0
Vertex 141 -> Color 1
Vertex 142 -> Color 0
Vertex 143 -> Color 1
Vertex 144 -> Color 0
Vertex 145 -> Color 1
Vertex 146 -> Color 0
Vertex 147 -> Color 1
Vertex 148 -> Color 0
Vertex 149 -> Color 1
Vertex 150 -> Color 0
Vertex 151 -> Color 1
Vertex 152 -> Color 1
Vertex 153 -> Color 0
Vertex 154 -> Color 1
Vertex 155 -> Color 0
Vertex 156 -> Color 1
Vertex 157 -> Color 0
Vertex 158 -> Color 1
Vertex 159 -> Color 0
Vertex 160 -> Color 1
Vertex 161 -> Color 0
Vertex 162 -> Color 1
Vertex 163 -> Color 1
Vertex 164 -> Color 0
Vertex 165 -> Color 1
Vertex 166 -> Color 0
Vertex 167 -> Color 1
Vertex 168 -> Color 0
Vertex 169 -> Color 1
Vertex 170 -> Color 0
Vertex 171 -> Color 1
Vertex 172 -> Color 0
Vertex 173 -> Color 1
Vertex 174 -> Color 1
Vertex 175 -> Color 0
Vertex 176 -> Color 1
Vertex 177 -> Color 0
Vertex 178 -> Color 1
Vertex 179 -> Color 0
Vertex 180 -> Color 1
Vertex 181 -> Color 0
Vertex 182 -> Color 1
Vertex 183 -> Color 0
Vertex 184 -> Color 1
Vertex 185 -> Color 1
Vertex 186 -> Color 1
Vertex 187 -> Color 1
Vertex 188 -> Color 1
Vertex 189 -> Color 1
Vertex 190 -> Color 1
Vertex 191 -> Color 1
Vertex 192 -> Color 1
Vertex 193 -> Color 1
Vertex 194 -> Color 0
Vertex 195 -> Color 1
Vertex 196 -> Color 1
Vertex 197 -> Color 0
Vertex 198 -> Color 1
Vertex 199 -> Color 0
Vertex 200 -> Color 1
Vertex 201 -> Color 1
Vertex 202 -> Color 0
Vertex 203 -> Color 1
Vertex 204 -> Color 0
Vertex 205 -> Color 1
Vertex 206 -> Color 0
Vertex 207 -> Color 1
Vertex 208 -> Color 0
Vertex 209 -> Color 1
Vertex 210 -> Color 1
Vertex 211 -> Color 0
Vertex 212 -> Color 1
Vertex 213 -> Color 0
Vertex 214 -> Color 1
Vertex 215 -> Color 0
Vertex 216 -> Color 0
Vertex 217 -> Color 1
Vertex 218 -> Color 0
Vertex 219 -> Color 1
Vertex 220 -> Color 0
Vertex 221 -> Color 1
Vertex 222 -> Color 1
Vertex 223 -> Color 0
Vertex 224 -> Color 1
Vertex 225 -> Color 0
Vertex 226 -> Color 1
Vertex 227 -> Color 0
Vertex 228 -> Color 0
Vertex 229 -> Color 1
Vertex 230 -> Color 0
Vertex 231 -> Color 1
Vertex 232 -> Color 0
Vertex 233 -> Color 1
