Requested ordering: INCIDENCE_DEGREE
Coloring distance: DISTANCE_ONE
Input graph: data\raw\matrices\bcsstk15.mtx

 Coloring | INCIDENCE_DEGREE Ordering | data\raw\matrices\bcsstk15.mtx
Order Position 84 -> Vertex 2863
Order Position 85 -> Vertex 2727
Order Position 86 -> Vertex 2725
Order Position 87 -> Vertex 2599
Order Position 88 -> Vertex 2603
Order Position 89 -> Vertex 2601
Order Position 90 -> Vertex 2885
Order Position 91 -> Vertex 2957
Order Position 92 -> Vertex 2955
Order Position 93 -> Vertex 2953
Order Position 94 -> Vertex 2883
Order Position 95 -> Vertex 2881
Order Position 96 -> Vertex 3149
Order Position 97 -> Vertex 3147
Order Position 98 -> Vertex 3145
Order Position 99 -> Vertex 2993
Order Position 100 -> Vertex 2991
Order Position 101 -> Vertex 2989
Order Position 102 -> Vertex 2735
Order Position 103 -> Vertex 2733
Order Position 104 -> Vertex 2731
Order Position 105 -> Vertex 2447
Order Position 106 -> Vertex 2445
Order Position 107 -> Vertex 2443
Order Position 108 -> Vertex 2117
Order Position 109 -> Vertex 2115
Order Position 110 -> Vertex 2113
Order Position 111 -> Vertex 2129
Order Position 112 -> Vertex 2127
Order Position 113 -> Vertex 2125
Order Position 114 -> Vertex 2453
Order Position 115 -> Vertex 2747
Order Position 116 -> Vertex 2745
Order Position 117 -> Vertex 2743
Order Position 118 -> Vertex 2451
Order Position 119 -> Vertex 2449
Order Position 120 -> Vertex 2135
Order Position 121 -> Vertex 2133
Order Position 122 -> Vertex 2131
Order Position 123 -> Vertex 2999
Order Position 124 -> Vertex 3227
Order Position 125 -> Vertex 3225
Order Position 126 -> Vertex 3223
Order Position 127 -> Vertex 2997
Order Position 128 -> Vertex 2995
Order Position 129 -> Vertex 3257
Order Position 130 -> Vertex 3255
Order Position 131 -> Vertex 3253
Order Position 132 -> Vertex 3011
Order Position 133 -> Vertex 3009
Order Position 134 -> Vertex 3007
Order Position 135 -> Vertex 2753
Order Position 136 -> Vertex 2751
Order Position 137 -> Vertex 2749
Order Position 138 -> Vertex 2459
Order Position 139 -> Vertex 2457
Order Position 140 -> Vertex 2455
Order Position 141 -> Vertex 2759
Order Position 142 -> Vertex 2757
Order Position 143 -> Vertex 2755
Order Position 144 -> Vertex 3017
Order Position 145 -> Vertex 3263
Order Position 146 -> Vertex 3261
Order Position 147 -> Vertex 3259
Order Position 148 -> Vertex 3015
Order Position 149 -> Vertex 3013
Order Position 150 -> Vertex 3275
Order Position 151 -> Vertex 3273
Order Position 152 -> Vertex 3271
Order Position 153 -> Vertex 3023
Order Position 154 -> Vertex 3021
Order Position 155 -> Vertex 3019
Order Position 156 -> Vertex 3281
Order Position 157 -> Vertex 3279
Order Position 158 -> Vertex 3277
Order Position 159 -> Vertex 2765
Order Position 160 -> Vertex 2763
Order Position 161 -> Vertex 2761
Order Position 162 -> Vertex 2465
Order Position 163 -> Vertex 2463
Order Position 164 -> Vertex 2461
Order Position 165 -> Vertex 2153
Order Position 166 -> Vertex 2151
Order Position 167 -> Vertex 2149
Order Position 168 -> Vertex 2159
Order Position 169 -> Vertex 2471
Order Position 170 -> Vertex 2469
Order Position 171 -> Vertex 2467
Order Position 172 -> Vertex 2157
Order Position 173 -> Vertex 2155
Order Position 174 -> Vertex 2141
Order Position 175 -> Vertex 2139
Order Position 176 -> Vertex 2137
Order Position 177 -> Vertex 1817
Order Position 178 -> Vertex 2165
Order Position 179 -> Vertex 2163
Order Position 180 -> Vertex 2161
Order Position 181 -> Vertex 1815
Order Position 182 -> Vertex 1813
Order Position 183 -> Vertex 1823
Order Position 184 -> Vertex 1821
Order Position 185 -> Vertex 1819
Order Position 186 -> Vertex 2171
Order Position 187 -> Vertex 2477
Order Position 188 -> Vertex 2475
Order Position 189 -> Vertex 2473
Order Position 190 -> Vertex 2169
Order Position 191 -> Vertex 2167
Order Position 192 -> Vertex 2777
Order Position 193 -> Vertex 2775
Order Position 194 -> Vertex 2773
Order Position 195 -> Vertex 3041
Order Position 196 -> Vertex 3039
Order Position 197 -> Vertex 3037
Order Position 198 -> Vertex 3293
Order Position 199 -> Vertex 3291
Order Position 200 -> Vertex 3289
Order Position 201 -> Vertex 3047
Order Position 202 -> Vertex 3045
Order Position 203 -> Vertex 3043
Order Position 204 -> Vertex 2783
Order Position 205 -> Vertex 2781
Order Position 206 -> Vertex 2779
Order Position 207 -> Vertex 2483
Order Position 208 -> Vertex 2481
Order Position 209 -> Vertex 2479
Order Position 210 -> Vertex 2771
Order Position 211 -> Vertex 2769
Order Position 212 -> Vertex 2767
Order Position 213 -> Vertex 3035
Order Position 214 -> Vertex 3311
Order Position 215 -> Vertex 3309
Order Position 216 -> Vertex 3307
Order Position 217 -> Vertex 3033
Order Position 218 -> Vertex 3031
Order Position 219 -> Vertex 3305
Order Position 220 -> Vertex 3303
Order Position 221 -> Vertex 3301
Order Position 222 -> Vertex 3029
Order Position 223 -> Vertex 3027
Order Position 224 -> Vertex 3025
Order Position 225 -> Vertex 3299
Order Position 226 -> Vertex 3297
Order Position 227 -> Vertex 3295
Order Position 228 -> Vertex 3005
Order Position 229 -> Vertex 3003
Order Position 230 -> Vertex 3001
Order Position 231 -> Vertex 2741
Order Position 232 -> Vertex 2739
Order Position 233 -> Vertex 2737
Order Position 234 -> Vertex 2441
Order Position 235 -> Vertex 2439
Order Position 236 -> Vertex 2437
Order Position 237 -> Vertex 2111
Order Position 238 -> Vertex 2109
Order Position 239 -> Vertex 2107
Order Position 240 -> Vertex 2435
Order Position 241 -> Vertex 2433
Order Position 242 -> Vertex 2431
Order Position 243 -> Vertex 2723
Order Position 244 -> Vertex 2987
Order Position 245 -> Vertex 2985
Order Position 246 -> Vertex 2983
Order Position 247 -> Vertex 2721
Order Position 248 -> Vertex 2719
Order Position 249 -> Vertex 2951
Order Position 250 -> Vertex 2949
Order Position 251 -> Vertex 2947
Order Position 252 -> Vertex 3221
Order Position 253 -> Vertex 3251
Order Position 254 -> Vertex 3249
Order Position 255 -> Vertex 3247
Order Position 256 -> Vertex 3219
Order Position 257 -> Vertex 3217
Order Position 258 -> Vertex 3269
Order Position 259 -> Vertex 3267
Order Position 260 -> Vertex 3265
Order Position 261 -> Vertex 3287
Order Position 262 -> Vertex 3285
Order Position 263 -> Vertex 3283
Order Position 264 -> Vertex 3083
Order Position 265 -> Vertex 3081
Order Position 266 -> Vertex 3079
Order Position 267 -> Vertex 1243
Order Position 268 -> Vertex 1247
Order Position 269 -> Vertex 1245
Order Position 270 -> Vertex 887
Order Position 271 -> Vertex 1073
Order Position 272 -> Vertex 1071
Order Position 273 -> Vertex 1069
Order Position 274 -> Vertex 885
Order Position 275 -> Vertex 883
Order Position 276 -> Vertex 899
Order Position 277 -> Vertex 897
Order Position 278 -> Vertex 895
Order Position 279 -> Vertex 773
Order Position 280 -> Vertex 771
Order Position 281 -> Vertex 769
Order Position 282 -> Vertex 1085
Order Position 283 -> Vertex 1415
Order Position 284 -> Vertex 1413
Order Position 285 -> Vertex 1411
Order Position 286 -> Vertex 1083
Order Position 287 -> Vertex 1081
Order Position 288 -> Vertex 1427
Order Position 289 -> Vertex 1457
Order Position 290 -> Vertex 1455
Order Position 291 -> Vertex 1453
Order Position 292 -> Vertex 1425
Order Position 293 -> Vertex 1423
Order Position 294 -> Vertex 1835
Order Position 295 -> Vertex 1833
Order Position 296 -> Vertex 1831
Order Position 297 -> Vertex 1451
Order Position 298 -> Vertex 1449
Order Position 299 -> Vertex 1447
Order Position 300 -> Vertex 1853
Order Position 301 -> Vertex 1851
Order Position 302 -> Vertex 1849
Order Position 303 -> Vertex 1847
Order Position 304 -> Vertex 1845
Order Position 305 -> Vertex 1439
Order Position 306 -> Vertex 1437
Order Position 307 -> Vertex 1435
Order Position 308 -> Vertex 1843
Order Position 309 -> Vertex 1095
Order Position 310 -> Vertex 1097
Order Position 311 -> Vertex 1093
Order Position 312 -> Vertex 1433
Order Position 313 -> Vertex 1431
Order Position 314 -> Vertex 1429
Order Position 315 -> Vertex 1841
Order Position 316 -> Vertex 2177
Order Position 317 -> Vertex 2175
Order Position 318 -> Vertex 2173
Order Position 319 -> Vertex 1839
Order Position 320 -> Vertex 1837
Order Position 321 -> Vertex 1859
Order Position 322 -> Vertex 1857
Order Position 323 -> Vertex 1855
Order Position 324 -> Vertex 1475
Order Position 325 -> Vertex 1473
Order Position 326 -> Vertex 1471
Order Position 327 -> Vertex 1481
Order Position 328 -> Vertex 1479
Order Position 329 -> Vertex 1477
Order Position 330 -> Vertex 1421
Order Position 331 -> Vertex 1419
Order Position 332 -> Vertex 1417
Order Position 333 -> Vertex 1091
Order Position 334 -> Vertex 1089
Order Position 335 -> Vertex 1087
Order Position 336 -> Vertex 785
Order Position 337 -> Vertex 783
Order Position 338 -> Vertex 781
Order Position 339 -> Vertex 599
Order Position 340 -> Vertex 597
Order Position 341 -> Vertex 595
Order Position 342 -> Vertex 533
Order Position 343 -> Vertex 779
Order Position 344 -> Vertex 777
Order Position 345 -> Vertex 775
Order Position 346 -> Vertex 531
Order Position 347 -> Vertex 529
Order Position 348 -> Vertex 1079
Order Position 349 -> Vertex 1077
Order Position 350 -> Vertex 1075
Order Position 351 -> Vertex 1115
Order Position 352 -> Vertex 1113
Order Position 353 -> Vertex 1111
Order Position 354 -> Vertex 1127
Order Position 355 -> Vertex 1125
Order Position 356 -> Vertex 1123
Order Position 357 -> Vertex 1067
Order Position 358 -> Vertex 1065
Order Position 359 -> Vertex 1063
Order Position 360 -> Vertex 767
Order Position 361 -> Vertex 765
Order Position 362 -> Vertex 763
Order Position 363 -> Vertex 527
Order Position 364 -> Vertex 525
Order Position 365 -> Vertex 523
Order Position 366 -> Vertex 521
Order Position 367 -> Vertex 761
Order Position 368 -> Vertex 759
Order Position 369 -> Vertex 757
Order Position 370 -> Vertex 519
Order Position 371 -> Vertex 517
Order Position 372 -> Vertex 515
Order Position 373 -> Vertex 513
Order Position 374 -> Vertex 511
Order Position 375 -> Vertex 755
Order Position 376 -> Vertex 797
Order Position 377 -> Vertex 795
Order Position 378 -> Vertex 793
Order Position 379 -> Vertex 753
Order Position 380 -> Vertex 751
Order Position 381 -> Vertex 809
Order Position 382 -> Vertex 807
Order Position 383 -> Vertex 805
Order Position 384 -> Vertex 821
Order Position 385 -> Vertex 819
Order Position 386 -> Vertex 817
Order Position 387 -> Vertex 569
Order Position 388 -> Vertex 567
Order Position 389 -> Vertex 565
Order Position 390 -> Vertex 557
Order Position 391 -> Vertex 555
Order Position 392 -> Vertex 553
Order Position 393 -> Vertex 545
Order Position 394 -> Vertex 543
Order Position 395 -> Vertex 541
Order Position 396 -> Vertex 509
Order Position 397 -> Vertex 507
Order Position 398 -> Vertex 505
Order Position 399 -> Vertex 503
Order Position 400 -> Vertex 501
Order Position 401 -> Vertex 581
Order Position 402 -> Vertex 579
Order Position 403 -> Vertex 577
Order Position 404 -> Vertex 816
Order Position 405 -> Vertex 1122
Order Position 406 -> Vertex 1112
Order Position 407 -> Vertex 1110
Order Position 408 -> Vertex 1476
Order Position 409 -> Vertex 1472
Order Position 410 -> Vertex 1470
Order Position 411 -> Vertex 1114
Order Position 412 -> Vertex 1474
Order Position 413 -> Vertex 1126
Order Position 414 -> Vertex 1124
Order Position 415 -> Vertex 1480
Order Position 416 -> Vertex 1478
Order Position 417 -> Vertex 1854
Order Position 418 -> Vertex 1858
Order Position 419 -> Vertex 1856
Order Position 420 -> Vertex 1838
Order Position 421 -> Vertex 1836
Order Position 422 -> Vertex 2172
Order Position 423 -> Vertex 2176
Order Position 424 -> Vertex 2174
Order Position 425 -> Vertex 1842
Order Position 426 -> Vertex 1844
Order Position 427 -> Vertex 1840
Order Position 428 -> Vertex 1846
Order Position 429 -> Vertex 1428
Order Position 430 -> Vertex 1418
Order Position 431 -> Vertex 1416
Order Position 432 -> Vertex 1430
Order Position 433 -> Vertex 1420
Order Position 434 -> Vertex 1432
Order Position 435 -> Vertex 1436
Order Position 436 -> Vertex 1434
Order Position 437 -> Vertex 1438
Order Position 438 -> Vertex 1086
Order Position 439 -> Vertex 1074
Order Position 440 -> Vertex 1088
Order Position 441 -> Vertex 1076
Order Position 442 -> Vertex 1062
Order Position 443 -> Vertex 1064
Order Position 444 -> Vertex 806
Order Position 445 -> Vertex 804
Order Position 446 -> Vertex 818
Order Position 447 -> Vertex 820
Order Position 448 -> Vertex 1119
Order Position 449 -> Vertex 1467
Order Position 450 -> Vertex 1468
Order Position 451 -> Vertex 1466
Order Position 452 -> Vertex 1120
Order Position 453 -> Vertex 1118
Order Position 454 -> Vertex 1116
Order Position 455 -> Vertex 1464
Order Position 456 -> Vertex 1465
Order Position 457 -> Vertex 1117
Order Position 458 -> Vertex 814
Order Position 459 -> Vertex 813
Order Position 460 -> Vertex 812
Order Position 461 -> Vertex 1121
Order Position 462 -> Vertex 811
Order Position 463 -> Vertex 810
Order Position 464 -> Vertex 1469
Order Position 465 -> Vertex 1828
Order Position 466 -> Vertex 1827
Order Position 467 -> Vertex 1826
Order Position 468 -> Vertex 1825
Order Position 469 -> Vertex 815
Order Position 470 -> Vertex 578
Order Position 471 -> Vertex 580
Order Position 472 -> Vertex 576
Order Position 473 -> Vertex 574
Order Position 474 -> Vertex 571
Order Position 475 -> Vertex 573
Order Position 476 -> Vertex 572
Order Position 477 -> Vertex 566
Order Position 478 -> Vertex 575
Order Position 479 -> Vertex 568
Order Position 480 -> Vertex 570
Order Position 481 -> Vertex 564
Order Position 482 -> Vertex 794
Order Position 483 -> Vertex 792
Order Position 484 -> Vertex 554
Order Position 485 -> Vertex 808
Order Position 486 -> Vertex 365
Order Position 487 -> Vertex 364
Order Position 488 -> Vertex 556
Order Position 489 -> Vertex 552
Order Position 490 -> Vertex 360
Order Position 491 -> Vertex 352
Order Position 492 -> Vertex 362
Order Position 493 -> Vertex 361
Order Position 494 -> Vertex 353
Order Position 495 -> Vertex 544
Order Position 496 -> Vertex 348
Order Position 497 -> Vertex 540
Order Position 498 -> Vertex 752
Order Position 499 -> Vertex 542
Order Position 500 -> Vertex 750
Order Position 501 -> Vertex 758
Order Position 502 -> Vertex 756
Order Position 503 -> Vertex 764
Order Position 504 -> Vertex 762
Order Position 505 -> Vertex 510
Order Position 506 -> Vertex 504
Order Position 507 -> Vertex 512
Order Position 508 -> Vertex 516
Order Position 509 -> Vertex 506
Order Position 510 -> Vertex 514
Order Position 511 -> Vertex 518
Order Position 512 -> Vertex 776
Order Position 513 -> Vertex 774
Order Position 514 -> Vertex 1092
Order Position 515 -> Vertex 1094
Order Position 516 -> Vertex 1090
Order Position 517 -> Vertex 1078
Order Position 518 -> Vertex 520
Order Position 519 -> Vertex 766
Order Position 520 -> Vertex 522
Order Position 521 -> Vertex 778
Order Position 522 -> Vertex 782
Order Position 523 -> Vertex 780
Order Position 524 -> Vertex 524
Order Position 525 -> Vertex 526
Order Position 526 -> Vertex 528
Order Position 527 -> Vertex 530
Order Position 528 -> Vertex 532
Order Position 529 -> Vertex 508
Order Position 530 -> Vertex 754
Order Position 531 -> Vertex 796
Order Position 532 -> Vertex 1066
Order Position 533 -> Vertex 760
Order Position 534 -> Vertex 369
Order Position 535 -> Vertex 315
Order Position 536 -> Vertex 370
Order Position 537 -> Vertex 368
Order Position 538 -> Vertex 316
Order Position 539 -> Vertex 314
Order Position 540 -> Vertex 312
Order Position 541 -> Vertex 366
Order Position 542 -> Vertex 367
Order Position 543 -> Vertex 313
Order Position 544 -> Vertex 310
Order Position 545 -> Vertex 309
Order Position 546 -> Vertex 308
Order Position 547 -> Vertex 502
Order Position 548 -> Vertex 317
Order Position 549 -> Vertex 307
Order Position 550 -> Vertex 306
Order Position 551 -> Vertex 328
Order Position 552 -> Vertex 340
Order Position 553 -> Vertex 341
Order Position 554 -> Vertex 336
Order Position 555 -> Vertex 329
Order Position 556 -> Vertex 324
Order Position 557 -> Vertex 325
Order Position 558 -> Vertex 311
Order Position 559 -> Vertex 326
Order Position 560 -> Vertex 327
Order Position 561 -> Vertex 610
Order Position 562 -> Vertex 609
Order Position 563 -> Vertex 608
Order Position 564 -> Vertex 371
Order Position 565 -> Vertex 607
Order Position 566 -> Vertex 606
Order Position 567 -> Vertex 611
Order Position 568 -> Vertex 594
Order Position 569 -> Vertex 598
Order Position 570 -> Vertex 596
Order Position 571 -> Vertex 768
Order Position 572 -> Vertex 770
Order Position 573 -> Vertex 1082
Order Position 574 -> Vertex 1080
Order Position 575 -> Vertex 1424
Order Position 576 -> Vertex 1422
Order Position 577 -> Vertex 1832
Order Position 578 -> Vertex 1830
Order Position 579 -> Vertex 1850
Order Position 580 -> Vertex 1848
Order Position 581 -> Vertex 1852
Order Position 582 -> Vertex 1096
Order Position 583 -> Vertex 784
Order Position 584 -> Vertex 772
Order Position 585 -> Vertex 1084
Order Position 586 -> Vertex 1426
Order Position 587 -> Vertex 894
Order Position 588 -> Vertex 910
Order Position 589 -> Vertex 909
Order Position 590 -> Vertex 908
Order Position 591 -> Vertex 907
Order Position 592 -> Vertex 906
Order Position 593 -> Vertex 898
Order Position 594 -> Vertex 896
Order Position 595 -> Vertex 884
Order Position 596 -> Vertex 882
Order Position 597 -> Vertex 1242
Order Position 598 -> Vertex 1246
Order Position 599 -> Vertex 1244
Order Position 600 -> Vertex 1258
Order Position 601 -> Vertex 1257
Order Position 602 -> Vertex 1256
Order Position 603 -> Vertex 911
Order Position 604 -> Vertex 1255
Order Position 605 -> Vertex 1254
Order Position 606 -> Vertex 1070
Order Position 607 -> Vertex 1068
Order Position 608 -> Vertex 1412
Order Position 609 -> Vertex 1410
Order Position 610 -> Vertex 1454
Order Position 611 -> Vertex 1452
Order Position 612 -> Vertex 1230
Order Position 613 -> Vertex 1596
Order Position 614 -> Vertex 1232
Order Position 615 -> Vertex 1598
Order Position 616 -> Vertex 1600
Order Position 617 -> Vertex 1612
Order Position 618 -> Vertex 1611
Order Position 619 -> Vertex 1610
Order Position 620 -> Vertex 1259
Order Position 621 -> Vertex 1609
Order Position 622 -> Vertex 1608
Order Position 623 -> Vertex 1956
Order Position 624 -> Vertex 1960
Order Position 625 -> Vertex 1972
Order Position 626 -> Vertex 1971
Order Position 627 -> Vertex 1958
Order Position 628 -> Vertex 1970
Order Position 629 -> Vertex 1613
Order Position 630 -> Vertex 1969
Order Position 631 -> Vertex 1968
Order Position 632 -> Vertex 1584
Order Position 633 -> Vertex 1586
Order Position 634 -> Vertex 1214
Order Position 635 -> Vertex 1212
Order Position 636 -> Vertex 1196
Order Position 637 -> Vertex 1194
Order Position 638 -> Vertex 1446
Order Position 639 -> Vertex 1448
Order Position 640 -> Vertex 1568
Order Position 641 -> Vertex 1566
Order Position 642 -> Vertex 1944
Order Position 643 -> Vertex 2280
Order Position 644 -> Vertex 1946
Order Position 645 -> Vertex 2282
Order Position 646 -> Vertex 2284
Order Position 647 -> Vertex 2296
Order Position 648 -> Vertex 2295
Order Position 649 -> Vertex 2294
Order Position 650 -> Vertex 1973
Order Position 651 -> Vertex 2293
Order Position 652 -> Vertex 2292
Order Position 653 -> Vertex 2598
Order Position 654 -> Vertex 2602
Order Position 655 -> Vertex 2614
Order Position 656 -> Vertex 2613
Order Position 657 -> Vertex 2600
Order Position 658 -> Vertex 2612
Order Position 659 -> Vertex 2297
Order Position 660 -> Vertex 2611
Order Position 661 -> Vertex 2610
Order Position 662 -> Vertex 2268
Order Position 663 -> Vertex 2270
Order Position 664 -> Vertex 1928
Order Position 665 -> Vertex 1926
Order Position 666 -> Vertex 2615
Order Position 667 -> Vertex 2884
Order Position 668 -> Vertex 2880
Order Position 669 -> Vertex 2896
Order Position 670 -> Vertex 2895
Order Position 671 -> Vertex 2894
Order Position 672 -> Vertex 2882
Order Position 673 -> Vertex 2892
Order Position 674 -> Vertex 2893
Order Position 675 -> Vertex 2586
Order Position 676 -> Vertex 2588
Order Position 677 -> Vertex 2252
Order Position 678 -> Vertex 2250
Order Position 679 -> Vertex 3148
Order Position 680 -> Vertex 3144
Order Position 681 -> Vertex 3166
Order Position 682 -> Vertex 3165
Order Position 683 -> Vertex 3146
Order Position 684 -> Vertex 3164
Order Position 685 -> Vertex 2897
Order Position 686 -> Vertex 3163
Order Position 687 -> Vertex 3162
Order Position 688 -> Vertex 2862
Order Position 689 -> Vertex 2864
Order Position 690 -> Vertex 2558
Order Position 691 -> Vertex 2556
Order Position 692 -> Vertex 3167
Order Position 693 -> Vertex 3226
Order Position 694 -> Vertex 3222
Order Position 695 -> Vertex 3400
Order Position 696 -> Vertex 3399
Order Position 697 -> Vertex 3398
Order Position 698 -> Vertex 3224
Order Position 699 -> Vertex 3396
Order Position 700 -> Vertex 3397
Order Position 701 -> Vertex 2952
Order Position 702 -> Vertex 2954
Order Position 703 -> Vertex 2672
Order Position 704 -> Vertex 2670
Order Position 705 -> Vertex 3401
Order Position 706 -> Vertex 3256
Order Position 707 -> Vertex 3252
Order Position 708 -> Vertex 3466
Order Position 709 -> Vertex 3465
Order Position 710 -> Vertex 3464
Order Position 711 -> Vertex 3254
Order Position 712 -> Vertex 3462
Order Position 713 -> Vertex 3463
Order Position 714 -> Vertex 2988
Order Position 715 -> Vertex 2990
Order Position 716 -> Vertex 2726
Order Position 717 -> Vertex 2724
Order Position 718 -> Vertex 3467
Order Position 719 -> Vertex 3262
Order Position 720 -> Vertex 3258
Order Position 721 -> Vertex 3496
Order Position 722 -> Vertex 3495
Order Position 723 -> Vertex 3494
Order Position 724 -> Vertex 3260
Order Position 725 -> Vertex 3492
Order Position 726 -> Vertex 3493
Order Position 727 -> Vertex 2994
Order Position 728 -> Vertex 2996
Order Position 729 -> Vertex 2732
Order Position 730 -> Vertex 2730
Order Position 731 -> Vertex 3274
Order Position 732 -> Vertex 3497
Order Position 733 -> Vertex 1198
Order Position 734 -> Vertex 1414
Order Position 735 -> Vertex 1456
Order Position 736 -> Vertex 1834
Order Position 737 -> Vertex 1550
Order Position 738 -> Vertex 1548
Order Position 739 -> Vertex 1176
Order Position 740 -> Vertex 1072
Order Position 741 -> Vertex 886
Order Position 742 -> Vertex 350
Order Position 743 -> Vertex 349
Order Position 744 -> Vertex 338
Order Position 745 -> Vertex 337
Order Position 746 -> Vertex 1216
Order Position 747 -> Vertex 1234
Order Position 748 -> Vertex 1588
Order Position 749 -> Vertex 1948
Order Position 750 -> Vertex 2272
Order Position 751 -> Vertex 2590
Order Position 752 -> Vertex 2866
Order Position 753 -> Vertex 2956
Order Position 754 -> Vertex 2992
Order Position 755 -> Vertex 1570
Order Position 756 -> Vertex 1178
Order Position 757 -> Vertex 1450
Order Position 758 -> Vertex 1444
Order Position 759 -> Vertex 1824
Order Position 760 -> Vertex 1443
Order Position 761 -> Vertex 1442
Order Position 762 -> Vertex 1441
Order Position 763 -> Vertex 1180
Order Position 764 -> Vertex 1530
Order Position 765 -> Vertex 1910
Order Position 766 -> Vertex 1908
Order Position 767 -> Vertex 1532
Order Position 768 -> Vertex 1829
Order Position 769 -> Vertex 1440
Order Position 770 -> Vertex 1162
Order Position 771 -> Vertex 1161
Order Position 772 -> Vertex 1160
Order Position 773 -> Vertex 1534
Order Position 774 -> Vertex 1159
Order Position 775 -> Vertex 1445
Order Position 776 -> Vertex 1158
Order Position 777 -> Vertex 1884
Order Position 778 -> Vertex 2222
Order Position 779 -> Vertex 2220
Order Position 780 -> Vertex 1886
Order Position 781 -> Vertex 1510
Order Position 782 -> Vertex 1509
Order Position 783 -> Vertex 1508
Order Position 784 -> Vertex 1888
Order Position 785 -> Vertex 1507
Order Position 786 -> Vertex 1506
Order Position 787 -> Vertex 1163
Order Position 788 -> Vertex 2028
Order Position 789 -> Vertex 2354
Order Position 790 -> Vertex 2352
Order Position 791 -> Vertex 2030
Order Position 792 -> Vertex 1666
Order Position 793 -> Vertex 1665
Order Position 794 -> Vertex 1664
Order Position 795 -> Vertex 2032
Order Position 796 -> Vertex 1663
Order Position 797 -> Vertex 1662
Order Position 798 -> Vertex 1511
Order Position 799 -> Vertex 2082
Order Position 800 -> Vertex 2420
Order Position 801 -> Vertex 2418
Order Position 802 -> Vertex 2084
Order Position 803 -> Vertex 1726
Order Position 804 -> Vertex 1725
Order Position 805 -> Vertex 1724
Order Position 806 -> Vertex 2086
Order Position 807 -> Vertex 1723
Order Position 808 -> Vertex 1722
Order Position 809 -> Vertex 1667
Order Position 810 -> Vertex 2094
Order Position 811 -> Vertex 2426
Order Position 812 -> Vertex 2424
Order Position 813 -> Vertex 2096
Order Position 814 -> Vertex 1738
Order Position 815 -> Vertex 1737
Order Position 816 -> Vertex 1736
